operator_address,jailed,status,tokens,delegator_shares,unbonding_height,unbonding_time,min_self_delegation,key,moniker,website,security_contact,details,rate,max_rate,max_change_rate,update_time
fxvaloper1qjz9334grynx8lg6ae9vj2fnktgj7u0qvq3szl,False,BOND_STATUS_BONDED,9532245.710965857,9532245.710965857,0,1970-01-01T00:00:00Z,0.01,tvKd3+PN1q1ZgNVLpQB1rPpoLPpi5xCMBtnGVlX3TNc=,Tokyo,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-07T11:27:45.564250825Z
fxvaloper1qcpxytptp0rfawxhgtm8z69y65g3g7d247d3wv,False,BOND_STATUS_BONDED,6294188.725002165,6294188.725002165,0,1970-01-01T00:00:00Z,0.01,T3bm1LbS2zAgv5D7PQVxKyOA9GKu0AzRYLcWewpX4TY=,ChiangMai,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-10T03:18:54.319159936Z
fxvaloper1pvv04yexryyxsraalwcephkavtwsadzh5yatru,False,BOND_STATUS_BONDED,8844582.92472228,8844582.92472228,0,1970-01-01T00:00:00Z,0.01,wUDterPLsycS5fktjbuONGn0waHQ9za4juhDLYFRmh8=,London,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2021-12-10T02:37:37.376700779Z
fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,True,BOND_STATUS_UNBONDING,1455.79691553,1455.79691553,3582240,2022-03-11T19:39:27.659483210Z,100.0,SXQfZppTZaryTEKVHPxYoL/9pIE/8s9vm97VW6asmhk=,RETIRING SOON wolfpack,https://twitter.com/WolfpackFx,,Pack of wolves validating the network!,0.5,20.0,0.5,2021-11-25T07:17:23.016033905Z
fxvaloper1zn0p7rqp2s702r4aua98gdtlwp6gza904h2dls,False,BOND_STATUS_BONDED,4723798.092125031,4723798.092125031,0,1970-01-01T00:00:00Z,140.0,ZqoJ+IZUl3ihaVYy8rZFAYBRmlFarKg3U8UKBw92pGw=,LuckyFX,https://twitter.com/LuckyFX10,,Good luck everyone!,0.1,15.0,0.5,2022-01-09T17:55:45.099788781Z
fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,False,BOND_STATUS_BONDED,300.0,300.0,0,1970-01-01T00:00:00Z,0.01,6tfU1mNp7Q/DxiDg94O2fG1CSXPqV0lDwMm2u7bgztQ=,Kigali,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-07T11:25:11.473090119Z
fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,False,BOND_STATUS_BONDED,6915060.382295066,6915060.382295066,0,1970-01-01T00:00:00Z,10000.0,ALSJItMexP7kJt7SJf5/4UBDly2I7OlXvLGEma0LEBo=,⛄❆ FrenchﾒCore-1 ❆⛄,https://twitter.com/FrenchXCore1,,FrenchXCore Validator - Commission fee lottery draw in June 2022 (https://twitter.com/FrenchXCore1/status/1488249805998641153),1.0,20.0,1.0,2022-01-31T20:37:11.365418622Z
fxvaloper1yqz7fm3els5we5cq4h6ug3yywm7sfpl0jm2pxh,False,BOND_STATUS_BONDED,7890606.156200404,7890606.156200404,0,1970-01-01T00:00:00Z,0.01,pqd3Hspvw7W4/BLS/bC2M+IaE4G3aYXUdTmLkJ7wUnw=,Innsbruck,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-10T03:19:22.221259030Z
fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,False,BOND_STATUS_BONDED,2651710.67434575,2651710.67434575,0,1970-01-01T00:00:00Z,1.0,wx1AZgI09rloqKfpLIz8VZSDoHM8Y+bxVqvlqN8K8z8=,SmallFort,https://functionx.io,,Alea jacta est,1.0,20.0,1.0,2021-12-14T17:58:57.199731289Z
fxvaloper1yc0v6at49lc9n8rvvcw86rgf2cgc26jy4ckzkj,False,BOND_STATUS_BONDED,12265134.904271461,12265134.904271461,0,1970-01-01T00:00:00Z,0.01,53tlxVhwXP4dOAuYvHuEEEmhr0+n9qcXlzW4FiLTtkY=,Madrid,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-07T11:25:22.392180683Z
fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,False,BOND_STATUS_BONDED,7244281.362686823,7244281.362686823,0,1970-01-01T00:00:00Z,1.0,P4OrcTIe/Vf/UpVox0x9S3iOhPhlTWZRb1Del3khwsU=,Blindgotchi,,,Who let the blindgotchi out,0.9199999999999999,20.0,1.0,2021-12-01T14:45:05.299019179Z
fxvaloper19g2087ksund76mv3vt598pd6p563f856wqldkg,False,BOND_STATUS_BONDED,4732521.8498016,4732521.8498016,0,1970-01-01T00:00:00Z,1.0,0lrLbFkoB1eFQz5qGV0Ek/McdBxo/3CldDc0OeMt8+Y=,FxWorld🇺🇦,https://twitter.com/Vennila_Isen,,"Dear Community, FxWorld is made for securing the FxCore and for you to earn Fx. The commission fee of 3% will stay till 03.03.2023. In 2023 we will reach out to the delegators to talk about a commission change. Let’s move together into a bright future.",3.0,8.0,1.0,2022-03-02T11:26:29.764717129Z
