operator_address,jailed,status,tokens,delegator_shares,unbonding_height,unbonding_time,min_self_delegation,key,moniker,website,security_contact,details,rate,max_rate,max_change_rate,update_time
fxvaloper1qjz9334grynx8lg6ae9vj2fnktgj7u0qvq3szl,False,BOND_STATUS_BONDED,9371035.710314317,9371035.710314317,0,1970-01-01T00:00:00Z,0.01,tvKd3+PN1q1ZgNVLpQB1rPpoLPpi5xCMBtnGVlX3TNc=,Tokyo,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-07T11:27:45.564250825Z
fxvaloper1qcpxytptp0rfawxhgtm8z69y65g3g7d247d3wv,False,BOND_STATUS_BONDED,5378442.203727774,5378442.203727774,0,1970-01-01T00:00:00Z,0.01,T3bm1LbS2zAgv5D7PQVxKyOA9GKu0AzRYLcWewpX4TY=,ChiangMai,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-10T03:18:54.319159936Z
fxvaloper1pvv04yexryyxsraalwcephkavtwsadzh5yatru,False,BOND_STATUS_BONDED,8625981.259362074,8625981.259362074,0,1970-01-01T00:00:00Z,0.01,wUDterPLsycS5fktjbuONGn0waHQ9za4juhDLYFRmh8=,London,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2021-12-10T02:37:37.376700779Z
fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,True,BOND_STATUS_UNBONDED,1.0,1.0,3582240,2022-03-11T19:39:27.659483210Z,100.0,SXQfZppTZaryTEKVHPxYoL/9pIE/8s9vm97VW6asmhk=,RETIRING SOON wolfpack,https://twitter.com/WolfpackFx,,Pack of wolves validating the network!,0.5,20.0,0.5,2021-11-25T07:17:23.016033905Z
fxvaloper1pa4mt67gk67l3ksgwatm56vfjze7y922j2p2q5,False,BOND_STATUS_BONDED,200.0,200.0,0,1970-01-01T00:00:00Z,100.0,owxeihXVxTaFYpQKk/OY+wVzbGMhapq5H2AWh9qwplU=,🌖🚀Moonbase,https://brrr.money,,🌖🚀MOON SOON🌖🚀,1.0,20.0,1.0,2022-04-02T06:20:28.289800157Z
fxvaloper1zn0p7rqp2s702r4aua98gdtlwp6gza904h2dls,False,BOND_STATUS_BONDED,5568038.19293384,5568038.19293384,0,1970-01-01T00:00:00Z,140.0,ZqoJ+IZUl3ihaVYy8rZFAYBRmlFarKg3U8UKBw92pGw=,LuckyFX,https://twitter.com/LuckyFX10,,Good luck everyone!,0.1,15.0,0.5,2022-01-09T17:55:45.099788781Z
fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,False,BOND_STATUS_UNBONDING,100.0,100.0,4302997,2022-04-30T12:15:47.002106650Z,0.01,6tfU1mNp7Q/DxiDg94O2fG1CSXPqV0lDwMm2u7bgztQ=,Kigali,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-07T11:25:11.473090119Z
fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,False,BOND_STATUS_BONDED,7185662.8529733885,7185662.8529733885,0,1970-01-01T00:00:00Z,10000.0,ALSJItMexP7kJt7SJf5/4UBDly2I7OlXvLGEma0LEBo=,🌼 ⓧ FrenchﾒCore-1 ⓧ 🌼,https://twitter.com/FrenchXCore1,,FrenchXCore Validator - Commission fee lottery draw in June 2022 (https://twitter.com/FrenchXCore1/status/1514524687644114946),1.0,20.0,1.0,2022-04-14T09:18:11.773428705Z
fxvaloper1r4f58l7x5eyn82e36tetc69fd9xf65x5e3k34g,False,BOND_STATUS_BONDED,3629035.216329606,3629035.216329606,0,1970-01-01T00:00:00Z,100.0,HuStLNNlqY/X2g/J8DrNYuO1d2i30lvTnpRhvH2s9ec=,🧙‍♂️ World of FX Wizards 🧙‍♀️,https://twitter.com/fxwizards_world,,The World of FX Wizards. Truly decentralized community with magical superpowers!,2.0,20.0,1.0,2022-04-09T12:12:47.813283740Z
fxvaloper1yqz7fm3els5we5cq4h6ug3yywm7sfpl0jm2pxh,False,BOND_STATUS_BONDED,7300814.4408698855,7300814.4408698855,0,1970-01-01T00:00:00Z,0.01,pqd3Hspvw7W4/BLS/bC2M+IaE4G3aYXUdTmLkJ7wUnw=,Innsbruck,functionx.io,contact@functionx.io,Details A Function X foundation self-hosted validator.,5.0,20.0,1.0,2022-01-10T03:19:22.221259030Z
fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,False,BOND_STATUS_BONDED,2757462.144443129,2757462.144443129,0,1970-01-01T00:00:00Z,1.0,wx1AZgI09rloqKfpLIz8VZSDoHM8Y+bxVqvlqN8K8z8=,SmallFort,https://functionx.io,,Alea jacta est,1.0,20.0,1.0,2021-12-14T17:58:57.199731289Z
